,Variable,SHAP_abs,Corr,Sign
6,S_headeduc_missing,0.00010626548080427408,-0.9999999999999991,blue
25,S_cashtransfers_missing,0.00014958414236519385,1.0,red
13,S_dem5,0.0005239042259144812,-1.0,blue
28,S_seguropopular,0.001068154787059746,0.9999999999999998,red
4,S_spouseage,0.0011269813388760468,-1.0,blue
24,S_cashtransfers,0.0012637637832397818,-0.9999999999999992,blue
8,S_spouseeduc_missing,0.001438067341644767,1.0,red
11,S_dem3,0.0021392247267189336,1.0,red
12,S_dem4,0.002481418971434945,-1.0,blue
27,S_foodprogram,0.0027271840302522197,-0.9999999999999992,blue
19,S_electricity,0.0034388690772144837,0.9999999999999992,red
16,S_dem8,0.004907984402711651,1.0,red
26,S_milkprogram,0.006868091364825624,0.9999999999999972,red
10,S_dem2,0.007580607521636974,1.0,red
9,S_dem1,0.0077059751920545315,-0.9999999999999984,blue
21,S_animalsinside,0.008230925473421701,-0.9999999999999988,blue
3,S_headage,0.009692633629385678,1.0,red
1,S_HHpeople,0.011185096481865196,-1.0,blue
20,S_hasanimals,0.011449782900415456,0.9999999999999972,red
15,S_dem7,0.01164945338649768,1.0,red
17,S_waterland,0.012349210575185527,1.0,red
14,S_dem6,0.012659726660586658,0.9999999999999987,red
5,S_headeduc,0.013903861457468207,0.9999999999999994,red
23,S_washhands,0.015180706223263106,1.0,red
7,S_spouseeduc,0.02456922336258785,1.0,red
22,S_garbage,0.02593228746678233,1.0,red
2,S_rooms,0.04157033257536343,0.9999999999999987,red
18,S_waterhouse,0.042553443500985534,0.9999999999999958,red
0,dpisofirme,0.0561923016979433,0.9999999999999967,red
