,Variable,SHAP_abs,Corr,Sign
3,S_headage,0.00011178955391616896,0.9999999999999998,red
6,S_headeduc_missing,0.000144064965621211,1.0,red
25,S_cashtransfers_missing,0.0002273012181214154,0.9999999999999998,red
28,S_seguropopular,0.00040633226148148677,-0.9999999999999974,blue
27,S_foodprogram,0.0006121715699531903,0.9999999999999972,red
24,S_cashtransfers,0.0007715323284419408,0.9999999999999996,red
22,S_garbage,0.0008335631919947632,0.999999999999999,red
19,S_electricity,0.002493142472984011,1.0,red
20,S_hasanimals,0.0037371566482793514,0.9999999999999993,red
26,S_milkprogram,0.0046211425970551345,0.9999999999999968,red
12,S_dem4,0.006575126375940638,-0.9999999999999962,blue
8,S_spouseeduc_missing,0.008244268508914387,0.9999999999999959,red
23,S_washhands,0.008618634793306726,1.0,red
11,S_dem3,0.010034896953121052,1.0,red
17,S_waterland,0.010143638860713755,0.9999999999999998,red
7,S_spouseeduc,0.010380588261229064,0.9999999999999999,red
21,S_animalsinside,0.016718868529125012,-1.0,blue
13,S_dem5,0.0200181565050484,0.9999999999999996,red
2,S_rooms,0.021314019197488595,1.0,red
9,S_dem1,0.02180872931505145,0.9999999999999989,red
4,S_spouseage,0.023046659334398707,1.0,red
16,S_dem8,0.023385582814537426,0.999999999999998,red
15,S_dem7,0.024490205403863125,0.999999999999999,red
5,S_headeduc,0.02628833843091361,0.9999999999999986,red
18,S_waterhouse,0.030130790402030618,0.999999999999998,red
14,S_dem6,0.03372721136262351,1.0,red
1,S_HHpeople,0.04438650762794599,-1.0,blue
10,S_dem2,0.05289659171646849,1.0,red
0,dpisofirme,0.12149843457730333,1.0,red
