,Variable,SHAP_abs,Corr,Sign
6,S_headeduc_missing,5.365611710484689e-05,-1.0,blue
25,S_cashtransfers_missing,0.0002077647943242022,0.9999999999999931,red
28,S_seguropopular,0.0009581430260457196,0.9999999999999983,red
26,S_milkprogram,0.001576174147578294,1.0,red
19,S_electricity,0.0015949762504188154,1.0,red
11,S_dem3,0.0017229556220728897,-1.0,blue
7,S_spouseeduc,0.0020316625927709778,0.9999999999999994,red
27,S_foodprogram,0.0023311900907555644,-0.9999999999999962,blue
8,S_spouseeduc_missing,0.002374305134620545,-1.0,blue
22,S_garbage,0.0028810073302593213,-1.0,blue
17,S_waterland,0.0030255073226738696,0.9999999999999991,red
9,S_dem1,0.003905575780479787,1.0,red
16,S_dem8,0.0044575157311928845,-0.9999999999999981,blue
13,S_dem5,0.005013056054708003,0.9999999999999986,red
21,S_animalsinside,0.0066913896615146,-1.0,blue
15,S_dem7,0.007010121380508374,1.0,red
23,S_washhands,0.007506932135683004,0.9999999999999994,red
24,S_cashtransfers,0.008041196257541886,-0.9999999999999989,blue
12,S_dem4,0.010495534388917867,-1.0,blue
14,S_dem6,0.011117139095153526,0.999999999999999,red
20,S_hasanimals,0.011825819853157114,-0.9999999999999996,blue
10,S_dem2,0.013480464369106764,1.0,red
4,S_spouseage,0.014602109533336688,1.0,red
1,S_HHpeople,0.023413919698125174,-0.9999999999999998,blue
5,S_headeduc,0.029451889779714146,1.0,red
3,S_headage,0.02960772141463241,1.0,red
18,S_waterhouse,0.04179969724367426,0.9999999999999999,red
2,S_rooms,0.046280889084617416,0.9999999999999982,red
0,dpisofirme,0.10816448942117599,0.9999999999999952,red
