,Variable,SHAP_abs,Corr,Sign
6,S_headeduc_missing,3.628930555665033e-05,1.0,red
25,S_cashtransfers_missing,0.00023598315323737227,0.9999999999999927,red
26,S_milkprogram,0.0005482895081463349,1.0,red
27,S_foodprogram,0.001198391259585169,-1.0,blue
28,S_seguropopular,0.0014356429125891095,0.9999999999999966,red
16,S_dem8,0.0015505432372533946,1.0,red
19,S_electricity,0.0020358003664464517,0.9999999999999997,red
22,S_garbage,0.002656713939927733,-1.0,blue
13,S_dem5,0.003918885966290202,0.9999999999999984,red
9,S_dem1,0.004398145289321149,1.0,red
12,S_dem4,0.005093253353086844,-1.0,blue
11,S_dem3,0.006827728024225831,1.0,red
17,S_waterland,0.007981922381387308,0.9999999999999994,red
7,S_spouseeduc,0.008017760109279485,0.9999999999999993,red
20,S_hasanimals,0.009858787486535688,-0.9999999999999977,blue
24,S_cashtransfers,0.01004198537433499,-1.0,blue
15,S_dem7,0.012610840208926395,0.9999999999999994,red
8,S_spouseeduc_missing,0.01648011682693928,1.0,red
21,S_animalsinside,0.01708911559631268,-1.0,blue
14,S_dem6,0.01909632945503443,1.0,red
3,S_headage,0.01962276731894778,1.0,red
23,S_washhands,0.020090860896665667,1.0,red
10,S_dem2,0.02397900365282425,1.0,red
1,S_HHpeople,0.025772447990384775,-0.9999999999999996,blue
4,S_spouseage,0.026264415999689084,0.9999999999999997,red
5,S_headeduc,0.028611471735695514,0.9999999999999984,red
18,S_waterhouse,0.03483704114429993,0.9999999999999954,red
2,S_rooms,0.04743407969562126,1.0,red
0,dpisofirme,0.12999798587074532,0.9999999999999972,red
