,Variable,SHAP_abs,Corr,Sign
6,S_headeduc_missing,3.9486345272357554e-05,-0.999999999999999,blue
25,S_cashtransfers_missing,0.00019686311365789817,1.0,red
20,S_hasanimals,0.0003035856271172905,-1.0,blue
28,S_seguropopular,0.00048192368507773156,0.9999999999999993,red
27,S_foodprogram,0.0011441301225679516,-0.9999999999999986,blue
19,S_electricity,0.0019454198772924077,1.0,red
26,S_milkprogram,0.0037019395002485644,0.9999999999999998,red
12,S_dem4,0.004270513757869657,-1.0,blue
24,S_cashtransfers,0.004516834904643805,-1.0,blue
22,S_garbage,0.004597695413776902,0.9999999999999977,red
9,S_dem1,0.004895079248984544,0.9999999999999991,red
16,S_dem8,0.005330119565141939,0.9999999999999976,red
11,S_dem3,0.005741644156929997,1.0,red
8,S_spouseeduc_missing,0.00584963224899439,0.9999999999999964,red
13,S_dem5,0.006562889626465119,0.9999999999999989,red
17,S_waterland,0.007922717026635516,0.9999999999999998,red
23,S_washhands,0.011421719797271577,1.0,red
7,S_spouseeduc,0.0124090612977508,0.999999999999999,red
21,S_animalsinside,0.012897477486071212,-1.0,blue
15,S_dem7,0.013339599404483083,0.9999999999999979,red
4,S_spouseage,0.013806226375155354,1.0,red
3,S_headage,0.014028641353086194,1.0,red
14,S_dem6,0.019658392407219644,0.9999999999999981,red
5,S_headeduc,0.021268327401200163,0.9999999999999994,red
10,S_dem2,0.02141133656679062,1.0,red
1,S_HHpeople,0.02208990058427406,-1.0,blue
18,S_waterhouse,0.036859750959366853,0.9999999999999991,red
2,S_rooms,0.04179632613961092,0.9999999999999978,red
0,dpisofirme,0.10298100805845559,0.9999999999999988,red
