,S_incomepc
0,1108.3334
1,1000.0
2,1100.0
3,660.4167
4,0.0
5,520.8333
6,560.0
7,372.22223
8,738.5417
9,800.0
10,1132.1794
11,1100.0
12,523.3334
13,1676.9443
14,680.0
15,1000.0
16,900.0
17,800.0
18,616.3334
19,1382.8572
20,400.0
21,550.0
22,560.0
23,608.0
24,457.14285
25,1126.6666
26,348.0
27,924.8
28,485.7143
29,506.66666
30,600.0
31,521.6666
32,1083.3334
33,600.0
34,1732.0834
35,1200.0
36,966.6667
37,800.0
38,1333.3334
39,209.72223
40,760.0
41,500.0
42,512.5
43,0.0
44,1231.6666
45,800.0
46,566.6667
47,540.0
48,1600.0
49,806.25
50,1524.1667
51,568.3334
52,355.55554
53,1500.0
54,625.0
55,827.7778
56,941.6667
57,528.3334
58,810.6667
59,766.6667
60,605.55554
61,280.0
62,745.4286
63,1138.3333
64,469.44446
65,720.0
66,513.88885
67,666.6667
68,337.77777
69,464.2857
70,1360.0
71,790.0
72,1296.3888
73,0.0
74,760.0
75,570.0
76,2350.0
77,585.0
78,760.0
79,800.0
80,685.7143
81,600.0
82,1100.0
83,1000.0
84,380.55554
85,0.0
86,933.3333
87,763.88885
88,347.2222
89,1381.1111
90,1435.7142
91,600.0
92,525.0
93,114.28571
94,880.0
95,766.6667
96,0.0
97,506.66666
98,480.0
99,560.0
100,600.0
101,601.6666
102,452.6316
103,4940.0
104,3360.0
105,839.3333
106,566.6667
107,392.25
108,1866.6666
109,1000.0
110,833.3333
111,1040.0
112,800.0
113,366.4286
114,587.5
115,506.66666
116,1626.7856
117,533.3333
118,554.0
119,666.6667
120,1399.0741
121,1466.25
122,2037.7778
123,1362.5
124,3351.4285
125,560.0
126,744.44446
127,1061.9048
128,1094.4
129,720.0
130,608.0
131,600.0
132,800.0
133,0.0
134,841.6667
135,680.0
136,619.44446
137,640.0
138,1481.5476
139,571.4286
140,894.0
141,0.0
142,340.27777
143,1650.9259
144,1460.0
145,560.0
146,483.33334
147,1200.0
148,1050.0
149,1360.0
150,900.0
151,783.2
152,563.3334
153,479.57574
154,515.2778
155,525.0
156,1041.0
157,533.3333
158,800.0
159,685.7143
160,600.0
161,1152.0834
162,628.5714
163,680.55554
164,533.3333
165,560.4167
166,400.0
167,1676.6666
168,628.5714
169,1440.0
170,1541.6666
171,0.0
172,833.3333
173,358.33334
174,1373.8096
175,1200.0
176,800.0
177,0.0
178,1011.4583
179,405.33334
180,1289.5834
181,454.16666
182,0.0
183,1514.2858
184,608.3334
185,4500.0
186,471.0
187,608.0
188,758.6667
189,765.625
190,842.6667
191,506.66666
192,585.6667
193,1141.6666
194,619.46967
195,1010.0
196,0.0
197,1268.0952
198,1145.8334
199,829.0909
200,1668.5416
201,686.6666
202,681.25
203,630.2381
204,285.7143
205,3866.6667
206,930.0
207,2309.5237
208,600.0
209,1250.0
210,608.0
211,564.5714
212,400.0
213,2400.0
214,936.6666
215,729.6
216,543.9166
217,0.0
218,875.0
219,2150.0
220,364.8
221,1023.61115
222,1332.0
223,812.5
224,528.0
225,457.14285
226,933.3333
227,608.0
228,0.0
229,520.0
230,1147.619
231,277.0
232,486.4
233,1428.5714
234,0.0
235,1318.5714
236,1126.0
237,320.0
238,325.0
239,660.4166
240,480.0
241,500.0
242,1241.6666
243,1190.9722
244,2133.3333
245,590.0
246,413.8889
247,943.3333
248,1813.3889
249,931.25
250,440.0
251,600.55554
252,661.11115
253,880.0
254,1205.0
255,981.3333
256,333.33334
257,648.3334
258,576.6666
259,266.66666
260,600.0
261,866.6667
262,571.4286
263,0.0
264,1333.3334
265,400.0
266,480.0
267,1214.2856
268,1393.3334
269,2000.0
270,333.33334
271,440.0
272,933.3333
273,600.0
274,800.0
275,620.8333
276,333.33334
277,1241.6666
278,0.0
279,1133.3334
280,1066.6666
281,1216.0
282,971.25
283,0.0
284,800.0
285,342.85715
286,1142.8572
287,640.0
288,2432.0
289,480.0
290,754.1667
291,700.0
292,600.0
293,1200.0
294,700.0
295,653.3334
296,416.66666
297,265.0
298,240.74075
299,500.0
300,509.9359
301,870.0222
302,327.77777
303,866.6667
304,978.3333
305,1236.6667
306,349.2857
307,810.6667
308,2282.679
309,571.4286
310,466.66666
311,1283.3334
312,1565.0
313,760.0
314,0.0
315,573.3334
316,2915.6667
317,260.60608
318,518.0952
319,295.2381
320,285.7143
321,1400.0
322,1083.3611
323,320.0
324,480.0
325,960.0
326,1298.3334
327,400.0
328,857.1429
329,554.1667
330,1000.0
331,820.8333
332,371.1111
333,413.33334
334,411.1111
335,521.6666
336,674.2857
337,476.3889
338,640.0
339,900.0
340,820.8333
341,600.0
342,2454.1667
343,673.3334
344,640.0
345,500.0
346,665.0
347,400.0
348,868.5714
349,1321.9445
350,600.0
351,0.0
352,514.2857
353,1765.0
354,499.5
355,266.66666
356,1100.0
357,1216.0
358,771.3333
359,2000.0
360,648.3334
361,576.6666
362,1480.5555
363,722.4167
364,1161.1111
365,3257.1428
366,651.4286
367,448.6111
368,961.1111
369,1192.8572
370,1830.9524
371,1040.0
372,2283.3333
373,0.0
374,329.6875
375,631.25
376,700.0
377,436.1667
378,691.6667
379,960.0
380,694.69696
381,600.0
382,0.0
383,4180.0
384,680.55554
385,1000.0
386,447.2222
387,533.3333
388,0.0
389,506.66666
390,850.0
391,128.57143
392,1008.3333
393,660.0
394,2450.0
395,868.75
396,818.75
397,366.66666
398,0.0
399,285.7143
400,2930.0
401,1016.6667
402,736.1111
403,1200.0
404,1000.0
405,581.3334
406,614.5833
407,1372.1428
408,1207.4445
409,904.1667
410,747.0
411,555.0
412,1178.5714
413,400.0
414,650.0
415,1102.619
416,1134.0
417,916.6667
418,453.57144
419,883.3333
420,1520.0
421,314.2857
422,1440.5555
423,1550.4762
424,1299.5238
425,333.33334
426,1213.8889
427,700.0
428,711.875
429,1375.0
430,608.0
431,423.6111
432,425.6
433,1000.0
434,354.7143
435,608.0
436,1400.0
437,575.0
438,1987.5
